Title,Artist,Link bài hát,Link .m4a,Link .mp3
Lalisa,Lisa,https://chiasenhac.vn/mp3/lisa/lalisa-tsv7rd0bqtamnq.html,https://data25.chiasenhac.com/download2/2199/3/2198275-d63f4bea/32/Lalisa%20-%20Lisa.m4a,https://data25.chiasenhac.com/download2/2199/3/2198275-d63f4bea/128/Lalisa%20-%20Lisa.mp3
When It's Good,Suzy,https://chiasenhac.vn/mp3/suzy/when-its-good-tsvqttrcqeffav.html,https://data2.chiasenhac.com/stream2/1714/3/1713919-d7f48fe0/32/When%20It_s%20Good%20-%20Suzy.m4a,https://data2.chiasenhac.com/stream2/1714/3/1713919-d7f48fe0/128/When%20It_s%20Good%20-%20Suzy.mp3
Jam Jam,IU,https://chiasenhac.vn/mp3/iu/jam-jam-tsvdt65sqmfkh4.html,https://data3.chiasenhac.com/downloads/1782/3/1781847-71c0b6e3/32/Jam%20Jam%20-%20IU.m4a,https://data3.chiasenhac.com/downloads/1782/3/1781847-71c0b6e3/128/Jam%20Jam%20-%20IU.mp3
Only,Lee Hi,https://chiasenhac.vn/mp3/lee-hi/only-tsv7brbtqtqaqf.html,https://data25.chiasenhac.com/download2/2191/3/2190316-42d583a2/32/Only%20-%20Lee%20Hi.m4a,https://data25.chiasenhac.com/download2/2191/3/2190316-42d583a2/128/Only%20-%20Lee%20Hi.mp3
I Miss You (Drama Version),Hyorin,https://chiasenhac.vn/mp3/hyorin/i-miss-you-drama-version-tsvqttrdqeffam.html,https://data2.chiasenhac.com/stream2/1714/3/1713918-6e4b1e03/32/I%20Miss%20You%20Drama%20Version_%20-%20Hyorin.m4a,https://data2.chiasenhac.com/stream2/1714/3/1713918-6e4b1e03/128/I%20Miss%20You%20Drama%20Version_%20-%20Hyorin.mp3
Be As One (Korean Version),Twice,https://chiasenhac.vn/mp3/twice/be-as-one-korean-version-tsvrqqm3qaee8w.html,https://data33.chiasenhac.com/downloads/1981/3/1980456-b4916eea/32/Be%20As%20One%20Korean%20Version_%20-%20Twice.m4a,https://data33.chiasenhac.com/downloads/1981/3/1980456-b4916eea/128/Be%20As%20One%20Korean%20Version_%20-%20Twice.mp3
Don't Push Me (Ballad Version),Wendy; Seulgi,https://chiasenhac.vn/mp3/wendy-seulgi/dont-push-me-ballad-version-tsvqttrqqeffae.html,https://data2.chiasenhac.com/stream2/1714/3/1713917-77290ffe/32/Don_t%20Push%20Me%20Ballad%20Version_%20-%20Wendy_%20S.m4a,https://data2.chiasenhac.com/stream2/1714/3/1713917-77290ffe/128/Don_t%20Push%20Me%20Ballad%20Version_%20-%20Wendy_%20S.mp3
You And I,Kim Jong Wan,https://chiasenhac.vn/mp3/kim-jong-wan/you-and-i-tsvq7rmrqeta8a.html,https://data3.chiasenhac.com/downloads/1749/3/1748001-67c7dd6f/32/You%20And%20I%20-%20Kim%20Jong%20Wan.m4a,https://data3.chiasenhac.com/downloads/1749/3/1748001-67c7dd6f/128/You%20And%20I%20-%20Kim%20Jong%20Wan.mp3
Not Today,BTS,https://chiasenhac.vn/mp3/bts/not-today-tsvqztsbqe1f4q.html,https://data3.chiasenhac.com/downloads/1772/3/1771360-1da4ddb3/32/Not%20Today%20-%20BTS.m4a,https://data3.chiasenhac.com/downloads/1772/3/1771360-1da4ddb3/128/Not%20Today%20-%20BTS.mp3
Wish,Choi Yu Ree,https://chiasenhac.vn/mp3/choi-yu-ree/wish-tsv7wqb6qt9eqk.html,https://data25.chiasenhac.com/download2/2198/3/2197493-0caa5b32/32/Wish%20-%20Choi%20Yu%20Ree.m4a,https://data25.chiasenhac.com/download2/2198/3/2197493-0caa5b32/128/Wish%20-%20Choi%20Yu%20Ree.mp3
