Title,Artist,Link bài hát,Link .m4a,Link .mp3
The Power Of Love,Celine Dion,https://chiasenhac.vn/mp3/celine-dion/the-power-of-love-ts3350bzqwhnq1.html,https://data26.chiasenhac.com/downloads/1432/3/1431034-b1e43bf4/32/The%20Power%20Of%20Love%20-%20Celine%20Dion.m4a,https://data26.chiasenhac.com/downloads/1432/3/1431034-b1e43bf4/128/The%20Power%20Of%20Love%20-%20Celine%20Dion.mp3
We Will Rock You,Five,https://chiasenhac.vn/mp3/five/we-will-rock-you-ts3wdcqsq9mve4.html,https://data51.chiasenhac.com/downloads/1002/3/1001927-602e8e28/32/We%20Will%20Rock%20You%20-%20Five.m4a,https://data51.chiasenhac.com/downloads/1002/3/1001927-602e8e28/128/We%20Will%20Rock%20You%20-%20Five.mp3
Stay,Zedd; Alessia Cara,https://chiasenhac.vn/mp3/zedd-alessia-cara/stay-tsvqvb5mqe2qh8.html,https://data3.chiasenhac.com/downloads/1769/3/1768275-eccd5100/32/Stay%20-%20Zedd_%20Alessia%20Cara.m4a,https://data3.chiasenhac.com/downloads/1769/3/1768275-eccd5100/128/Stay%20-%20Zedd_%20Alessia%20Cara.mp3
Love Yourself,Justin Bieber,https://chiasenhac.vn/mp3/justin-bieber/love-yourself-ts3z0vz0q1n21n.html,https://data2.chiasenhac.com/stream2/1583/3/1582235-c54cdaa6/32/Love%20Yourself%20-%20Justin%20Bieber.m4a,https://data2.chiasenhac.com/stream2/1583/3/1582235-c54cdaa6/128/Love%20Yourself%20-%20Justin%20Bieber.mp3
Sing Me To Sleep,Alan Walker; Iselin Solheim,https://chiasenhac.vn/mp3/alan-walker-iselin-solheim/sing-me-to-sleep-tsvrqd7tqaemtf.html,https://data33.chiasenhac.com/downloads/1981/3/1980716-3a3e89e7/32/Sing%20Me%20To%20Sleep%20-%20Alan%20Walker_%20Iselin%20S.m4a,https://data33.chiasenhac.com/downloads/1981/3/1980716-3a3e89e7/128/Sing%20Me%20To%20Sleep%20-%20Alan%20Walker_%20Iselin%20S.mp3
Heartbreak Anniversary,Giveon,https://chiasenhac.vn/mp3/giveon/heartbreak-anniversary-tsvms5rzq84ha1.html,https://data17.chiasenhac.com/downloads/2155/3/2154762-4284dab0/32/Heartbreak%20Anniversary%20-%20Giveon.m4a,https://data17.chiasenhac.com/downloads/2155/3/2154762-4284dab0/128/Heartbreak%20Anniversary%20-%20Giveon.mp3
All That She Wants,Ace Of Base,https://chiasenhac.vn/mp3/ace-of-base/all-that-she-wants-ts3wdq7bq9metq.html,https://data51.chiasenhac.com/downloads/1002/3/1001520-8ac1630b/32/All%20That%20She%20Wants%20-%20Ace%20Of%20Base.m4a,https://data51.chiasenhac.com/downloads/1002/3/1001520-8ac1630b/128/All%20That%20She%20Wants%20-%20Ace%20Of%20Base.mp3
Stay,The Kid LAROI;  Justin Bieber,https://chiasenhac.vn/mp3/the-kid-laroi-justin-bieber/stay-tsv7q3w3qtew9w.html,https://data.chiasenhac.com/down2/2180/3/2179864-6a57f77c/32/Stay%20-%20The%20Kid%20LAROI_%20Justin%20Bieber.m4a,https://data.chiasenhac.com/down2/2180/3/2179864-6a57f77c/128/Stay%20-%20The%20Kid%20LAROI_%20Justin%20Bieber.mp3
Inferno,Sub Urban; Bella Poarch,https://chiasenhac.vn/mp3/sub-urban-bella-poarch/inferno-tsv7c7rcqtvtav.html,https://data.chiasenhac.com/down2/2188/3/2187007-e5f7981b/32/Inferno%20-%20Sub%20Urban_%20Bella%20Poarch.m4a,https://data.chiasenhac.com/down2/2188/3/2187007-e5f7981b/128/Inferno%20-%20Sub%20Urban_%20Bella%20Poarch.mp3
Peaches,Justin Bieber; Daniel Caesar; Giveon,https://chiasenhac.vn/mp3/justin-bieber-daniel-caesar-giveon/peaches-tsvm3vmtq8w28f.html,https://data.chiasenhac.com/down2/2160/3/2159644-54367991/32/Peaches%20-%20Justin%20Bieber_%20Daniel%20Caesar_.m4a,https://data.chiasenhac.com/down2/2160/3/2159644-54367991/128/Peaches%20-%20Justin%20Bieber_%20Daniel%20Caesar_.mp3
